"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Triturus pygmaeus",-7.788443,37.342858,16.6732292175293,11.2183742523193,42.6724510192871,527.970153808594,32.0377502441406,5.74825000762939,26.2895011901855,11.6774587631226,23.3799171447754,23.6144161224365,10.7522916793823,568,106,3,68.0865631103516,267,22,27,249
"Triturus pygmaeus",-7.601008,37.200084,17.173469543457,10.7744789123535,42.80810546875,510.622131347656,31.6520004272461,6.48274993896484,25.1692504882812,12.3922500610352,23.6323757171631,23.9340419769287,11.4846668243408,537,102,2,70.1940765380859,258,19,24,236
"Triturus pygmaeus",-7.753969,37.209499,16.324405670166,10.4206876754761,41.7562408447266,509.916748046875,30.7910003662109,5.83500003814697,24.9560012817383,11.6013336181641,22.8019580841064,23.0861663818359,10.6532917022705,579,110,2,70.0494232177734,277,20,26,257
"Triturus pygmaeus",-7.621001,37.214903,17.173469543457,10.7744789123535,42.80810546875,510.622131347656,31.6520004272461,6.48274993896484,25.1692504882812,12.3922500610352,23.6323757171631,23.9340419769287,11.4846668243408,537,102,2,70.1940765380859,258,19,24,236
"Triturus pygmaeus",-3.774535,40.702388,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127
"Triturus pygmaeus",-3.610494,40.77718,12.9809064865112,11.8492298126221,38.2634353637695,682.298950195312,31.0322494506836,0.064750000834465,30.9674987792969,8.9707498550415,21.8968753814697,21.8968753814697,5.30941677093506,395,50,12,36.2732734680176,140,54,54,110
"Triturus pygmaeus",-3.794795,40.603874,13.6365203857422,11.6482086181641,37.7465515136719,685.558654785156,31.5874996185303,0.728500008583069,30.8589992523193,9.54495811462402,22.6103744506836,22.6103744506836,5.91770839691162,397,50,12,37.7491035461426,141,52,52,115
"Triturus pygmaeus",-5.626285,37.817816,16.7231979370117,12.6485204696655,41.7305221557617,617.448669433594,34.2044982910156,3.89450001716614,30.3099975585938,10.5777502059937,24.594165802002,24.7735404968262,9.69091701507568,581,97,3,64.5335311889648,263,24,29,236
"Triturus pygmaeus",-3.979148,40.43915,14.1981773376465,11.3561458587646,37.3137054443359,683.692077636719,31.789249420166,1.35500001907349,30.4342498779297,10.1095838546753,22.9824161529541,23.1630001068115,6.50724983215332,385,47,11,37.4983520507812,134,51,52,111
"Triturus pygmaeus",-5.917971,37.604331,17.8880424499512,12.4664583206177,42.7050476074219,593.064270019531,34.1672515869141,4.97524976730347,29.1920013427734,11.8102912902832,25.3457088470459,25.4955425262451,10.9732913970947,540,94,2,66.1462173461914,251,23,28,223
"Triturus pygmaeus",-5.979337,37.643209,17.8880424499512,12.4664583206177,42.7050476074219,593.064270019531,34.1672515869141,4.97524976730347,29.1920013427734,11.8102912902832,25.3457088470459,25.4955425262451,10.9732913970947,540,94,2,66.1462173461914,251,23,28,223
"Triturus pygmaeus",-5.809989,37.656376,17.9815731048584,12.5578536987305,42.7916564941406,595.146667480469,34.3754997253418,5.02899980545044,29.3465003967285,11.8806667327881,25.4453735351562,25.6315002441406,11.0394163131714,533,93,2,66.6095733642578,247,21,26,220
"Triturus pygmaeus",-5.850208,37.649977,17.8880424499512,12.4664583206177,42.7050476074219,593.064270019531,34.1672515869141,4.97524976730347,29.1920013427734,11.8102912902832,25.3457088470459,25.4955425262451,10.9732913970947,540,94,2,66.1462173461914,251,23,28,223
"Triturus pygmaeus",-5.97048,37.681414,17.140739440918,12.4537286758423,41.2112426757812,621.204406738281,34.5180015563965,4.29874992370605,30.2192516326904,10.956000328064,25.08766746521,25.2237510681152,10.0705833435059,565,96,3,64.7024917602539,258,25,30,232
"Triturus pygmaeus",-5.742935,37.898949,15.4911251068115,12.4145412445068,40.5972633361816,630.942687988281,33.3252487182617,2.74550008773804,30.5797481536865,9.26550006866455,23.6006240844727,23.7523746490479,8.35720825195312,637,104,4,62.9571380615234,284,29,33,259
"Triturus pygmaeus",-5.776426,37.988506,15.4911251068115,12.4145412445068,40.5972633361816,630.942687988281,33.3252487182617,2.74550008773804,30.5797481536865,9.26550006866455,23.6006240844727,23.7523746490479,8.35720825195312,637,104,4,62.9571380615234,284,29,33,259
"Triturus pygmaeus",-6.024012,39.289507,15.4056148529053,11.4068126678467,37.885684967041,656.650695800781,33.0040016174316,2.89549994468689,30.1085014343262,8.86758327484131,23.9013328552246,23.9968757629395,8.01949977874756,590,96,6,58.319522857666,259,39,39,230
"Triturus pygmaeus",-3.657106,40.783359,12.9809064865112,11.8492298126221,38.2634353637695,682.298950195312,31.0322494506836,0.064750000834465,30.9674987792969,8.9707498550415,21.8968753814697,21.8968753814697,5.30941677093506,395,50,12,36.2732734680176,140,54,54,110
"Triturus pygmaeus",-3.785664,40.616209,13.6365203857422,11.6482086181641,37.7465515136719,685.558654785156,31.5874996185303,0.728500008583069,30.8589992523193,9.54495811462402,22.6103744506836,22.6103744506836,5.91770839691162,397,50,12,37.7491035461426,141,52,52,115
"Triturus pygmaeus",-4.891882,38.124392,15.4254379272461,12.6634998321533,40.3871765136719,654.093505859375,33.6492500305176,2.29399991035461,31.3552494049072,8.84112548828125,23.8448333740234,23.9252510070801,8.01525020599365,582,92,4,60.0741882324219,251,30,32,227
"Triturus pygmaeus",-8.892145,37.141925,16.4652519226074,7.30184745788574,44.6528205871582,318.027679443359,25.1384620666504,8.78597259521484,16.3524894714355,13.6306934356689,20.1719455718994,20.6131229400635,12.8188533782959,506,85,1,70.6042785644531,240,16,22,221
"Triturus pygmaeus",-8.404885,38.089392,16.5696659088135,10.603874206543,44.8755798339844,459.807220458984,30.2647495269775,6.63525009155273,23.6294994354248,12.0427083969116,22.1819171905518,22.4235420227051,11.156042098999,590,102,3,65.2532806396484,270,23,30,254
"Triturus pygmaeus",-8.525025,38.17316,16.3423328399658,10.1888751983643,45.116455078125,439.892730712891,29.2262496948242,6.64274978637695,22.5834999084473,11.908166885376,21.6530838012695,21.8715419769287,11.0721664428711,632,107,4,64.7259063720703,289,26,34,271
"Triturus pygmaeus",-5.911106,37.922965,16.0810527801514,12.3304786682129,40.5597839355469,629.272521972656,33.7410011291504,3.34025001525879,30.4007511138916,9.85270881652832,24.1637077331543,24.3031253814697,8.95308303833008,609,101,4,63.1079330444336,274,29,33,249
"Triturus pygmaeus",-5.662537,37.874679,15.0043439865112,12.1843538284302,40.2595596313477,628.326782226562,32.658748626709,2.39424991607666,30.2644996643066,8.81741714477539,23.0798740386963,23.2365837097168,7.90254163742065,656,106,4,62.3957214355469,290,30,34,265
"Triturus pygmaeus",-5.932601,37.803561,17.140739440918,12.4537286758423,41.2112426757812,621.204406738281,34.5180015563965,4.29874992370605,30.2192516326904,10.956000328064,25.08766746521,25.2237510681152,10.0705833435059,565,96,3,64.7024917602539,258,25,30,232
